# a8476006-28fa-428d-ab73-f0f9c03a59b4
# cb196240bb09e0a995d7b1bf5b3ebc7ad477ebab
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2; banking_rad
-304.6384835; -1792.3996756; 7.0803322; 7.0196678; -0.9998505; -0.0172891; 5.3058851; 0.0000000; -3.1243513; -0.0000016; 65.2687880; 0.2368690; 0.0000000
-304.5866582; -1795.3972816; 7.0725669; 7.0275828; -0.9998506; -0.0172836; 5.3060299; 2.9980247; -3.1243546; -0.0000016; 65.2760442; 0.2354460; 0.0000000
-304.5348487; -1798.3948885; 7.0590218; 7.0411285; -0.9998507; -0.0172786; 5.3061730; 5.9960525; -3.1243609; -0.0000016; 65.2904236; 0.2326259; 0.0000000
